subject,music,measure,value
4,departure,low,4
5,departure,low,1
6,departure,low,3
7,departure,low,2
8,departure,low,1
9,departure,low,1
10,departure,low,3
11,departure,low,2
12,departure,low,2
13,departure,low,4
1,departure,loud,3
2,departure,loud,2
3,departure,loud,3
4,departure,loud,2
5,departure,loud,3
6,departure,loud,2
7,departure,loud,1
8,departure,loud,2
9,departure,loud,2
10,departure,loud,2
11,departure,loud,3
12,departure,loud,4
13,departure,loud,3
1,departure,soft,4
2,departure,soft,4
3,departure,soft,3
4,departure,soft,3
5,departure,soft,3
6,departure,soft,3
7,departure,soft,3
8,departure,soft,4
9,departure,soft,5
10,departure,soft,4
11,departure,soft,3
12,departure,soft,1
13,departure,soft,3
1,departure,consonant,5
2,departure,consonant,4
3,departure,consonant,3
4,departure,consonant,4
5,departure,consonant,4
6,departure,consonant,5
7,departure,consonant,4
8,departure,consonant,4
9,departure,consonant,5
10,departure,consonant,5
11,departure,consonant,3
12,departure,consonant,5
13,departure,consonant,2
1,departure,dissonant,1
2,departure,dissonant,2
3,departure,dissonant,3
4,departure,dissonant,1
5,departure,dissonant,2
6,departure,dissonant,1
7,departure,dissonant,2
8,departure,dissonant,2
9,departure,dissonant,1
10,departure,dissonant,1
11,departure,dissonant,3
12,departure,dissonant,1
13,departure,dissonant,4
1,departure,instruments,strings
2,departure,instruments,Strings
3,departure,instruments,"violin, strings"
4,departure,instruments,"oboe, violin"
5,departure,instruments,NA
6,departure,instruments,"violin, clarinet"
7,departure,instruments,violin
8,departure,instruments,violin
9,departure,instruments,violin
10,departure,instruments,violin
11,departure,instruments,"strings, oboe"
12,departure,instruments,violin
13,departure,instruments,NA
1,devotion,fast,2
2,devotion,fast,2
3,devotion,fast,2
4,devotion,fast,2
5,devotion,fast,2
6,devotion,fast,3
7,devotion,fast,1
8,devotion,fast,2
9,devotion,fast,2
10,devotion,fast,1
11,devotion,fast,3
12,devotion,fast,5
13,devotion,fast,2
1,devotion,slow,4
2,devotion,slow,4
3,devotion,slow,4
4,devotion,slow,3
5,devotion,slow,3
6,devotion,slow,3
7,devotion,slow,5
8,devotion,slow,3
9,devotion,slow,4
10,devotion,slow,5
11,devotion,slow,4
12,devotion,slow,1
13,devotion,slow,4
1,devotion,high,3
2,devotion,high,2
3,devotion,high,2
4,devotion,high,3
5,devotion,high,4
6,devotion,high,4
7,devotion,high,2
8,devotion,high,3
9,devotion,high,4
10,devotion,high,1
11,devotion,high,2
12,devotion,high,1
13,devotion,high,4
1,devotion,low,3
2,devotion,low,4
3,devotion,low,4
4,devotion,low,3
5,devotion,low,3
6,devotion,low,3
7,devotion,low,4
8,devotion,low,3
9,devotion,low,2
10,devotion,low,5
11,devotion,low,4
12,devotion,low,4
13,devotion,low,4
1,devotion,loud,4
2,devotion,loud,2
3,devotion,loud,4
4,devotion,loud,3
5,devotion,loud,3
6,devotion,loud,3
7,devotion,loud,5
8,devotion,loud,3
9,devotion,loud,5
10,devotion,loud,2
11,devotion,loud,3
12,devotion,loud,4
13,devotion,loud,4
1,devotion,soft,2
2,devotion,soft,4
3,devotion,soft,1
4,devotion,soft,3
5,devotion,soft,4
6,devotion,soft,3
7,devotion,soft,2
8,devotion,soft,3
9,devotion,soft,3
10,devotion,soft,4
11,devotion,soft,2
12,devotion,soft,1
13,devotion,soft,2
1,devotion,consonant,5
2,devotion,consonant,5
3,devotion,consonant,5
4,devotion,consonant,5
5,devotion,consonant,4
6,devotion,consonant,5
7,devotion,consonant,4
8,devotion,consonant,5
9,devotion,consonant,5
10,devotion,consonant,5
11,devotion,consonant,4
12,devotion,consonant,5
13,devotion,consonant,4
1,devotion,dissonant,1
2,devotion,dissonant,1
3,devotion,dissonant,1
4,devotion,dissonant,1
5,devotion,dissonant,2
6,devotion,dissonant,1
7,devotion,dissonant,1
8,devotion,dissonant,1
9,devotion,dissonant,1
10,devotion,dissonant,1
11,devotion,dissonant,3
12,devotion,dissonant,1
13,devotion,dissonant,2
1,devotion,instruments,"horns, brass"
2,devotion,instruments,Brass
3,devotion,instruments,"brass, trumpets"
4,devotion,instruments,"trumpet, trombone"
5,devotion,instruments,Trumpet
6,devotion,instruments,"french horn, trumpet"
7,devotion,instruments,trumpet
8,devotion,instruments,"trumpet, trombone, french horn"
9,devotion,instruments,horn
10,devotion,instruments,horn
11,devotion,instruments,"trumpets, horns"
12,devotion,instruments,"trumpet, trombone"
13,devotion,instruments,brass
1,fight,fast,5
2,fight,fast,4
3,fight,fast,5
4,fight,fast,5
5,fight,fast,4
6,fight,fast,4
7,fight,fast,5
8,fight,fast,4
9,fight,fast,5
10,fight,fast,5
11,fight,fast,5
12,fight,fast,5
13,fight,fast,5
1,fight,slow,1
2,fight,slow,4
3,fight,slow,1
4,fight,slow,1
5,fight,slow,2
6,fight,slow,1
7,fight,slow,1
8,fight,slow,2
9,fight,slow,1
10,fight,slow,1
11,fight,slow,1
12,fight,slow,1
13,fight,slow,1
1,fight,high,3
2,fight,high,4
3,fight,high,3
4,fight,high,4
5,fight,high,3
6,fight,high,3
7,fight,high,2
8,fight,high,4
9,fight,high,5
10,fight,high,1
11,fight,high,3
12,fight,high,4
13,fight,high,2
1,fight,low,3
2,fight,low,4
3,fight,low,3
4,fight,low,4
5,fight,low,3
6,fight,low,3
7,fight,low,5
8,fight,low,3
9,fight,low,2
10,fight,low,5
11,fight,low,4
12,fight,low,4
13,fight,low,4
1,fight,loud,5
2,fight,loud,5
3,fight,loud,5
4,fight,loud,4
5,fight,loud,4
6,fight,loud,5
7,fight,loud,5
8,fight,loud,5
9,fight,loud,5
10,fight,loud,5
11,fight,loud,5
12,fight,loud,NA
13,fight,loud,4
1,fight,soft,1
2,fight,soft,1
3,fight,soft,1
4,fight,soft,1
5,fight,soft,2
6,fight,soft,1
7,fight,soft,1
8,fight,soft,1
9,fight,soft,1
10,fight,soft,1
11,fight,soft,1
12,fight,soft,1
13,fight,soft,2
1,fight,consonant,2
2,fight,consonant,4
3,fight,consonant,1
4,fight,consonant,2
5,fight,consonant,3
6,fight,consonant,3
7,fight,consonant,3
8,fight,consonant,3
